注：晨光始昏影终以及月出月没时刻均为北京时间；月出或月没时刻中如果小时的数据为55，表明当天没有月出或月没。
青海冷湖：纬度=38:33:14.69N 经度= 93:48:43.18E
          天文晨光始  航海晨光始  民用晨光始  民用昏影终  航海昏影终  天文昏影终   月出   月没
20180117     07:27       07:59       08:31       19:18       19:51       20:23    08:56  19:07
20180118     07:27       07:59       08:31       19:19       19:52       20:24    09:37  20:02
20180119     07:27       07:58       08:31       19:20       19:53       20:25    10:15  20:59
20180120     07:26       07:58       08:30       19:22       19:54       20:26    10:49  21:57
20180121     07:26       07:57       08:30       19:23       19:55       20:27    11:22  22:56
20180122     07:25       07:57       08:29       19:24       19:56       20:27    11:53  23:56
20180123     07:25       07:57       08:29       19:25       19:57       20:28    12:24  55:56
20180124     07:25       07:56       08:28       19:26       19:58       20:29    12:56  00:57
20180125     07:24       07:55       08:28       19:27       19:59       20:30    13:30  02:00
20180126     07:24       07:55       08:27       19:28       20:00       20:31    14:08  03:05
20180127     07:23       07:54       08:26       19:29       20:01       20:32    14:52  04:13
20180128     07:22       07:54       08:26       19:30       20:02       20:33    15:42  05:21
20180129     07:22       07:53       08:25       19:31       20:03       20:34    16:40  06:27
20180130     07:21       07:52       08:24       19:32       20:04       20:35    17:45  07:30
20180131     07:20       07:52       08:23       19:33       20:05       20:36    18:55  08:26
20180201     07:20       07:51       08:23       19:34       20:06       20:37    20:07  09:16
20180202     07:19       07:50       08:22       19:35       20:07       20:38    21:17  09:59
20180203     07:18       07:49       08:21       19:37       20:08       20:39    22:25  10:38
20180204     07:17       07:49       08:20       19:38       20:09       20:40    23:30  11:12
20180205     07:17       07:48       08:19       19:39       20:10       20:41    55:30  11:45
20180206     07:16       07:47       08:18       19:40       20:11       20:42    00:33  12:17
20180207     07:15       07:46       08:17       19:41       20:12       20:43    01:33  12:50
20180208     07:14       07:45       08:16       19:42       20:13       20:44    02:32  13:23
20180209     07:13       07:44       08:15       19:43       20:14       20:45    03:29  14:00
20180210     07:12       07:43       08:14       19:44       20:15       20:46    04:24  14:39
20180211     07:11       07:42       08:13       19:45       20:16       20:47    05:17  15:23
20180212     07:10       07:41       08:12       19:46       20:17       20:48    06:06  16:10
20180213     07:09       07:40       08:11       19:47       20:18       20:49    06:53  17:01
20180214     07:08       07:39       08:10       19:48       20:19       20:50    07:35  17:55
20180215     07:07       07:38       08:09       19:49       20:21       20:51    08:14  18:52
20180216     07:06       07:37       08:08       19:50       20:22       20:52    08:50  19:50
20180217     07:05       07:36       08:07       19:52       20:23       20:53    09:24  20:50
20180218     07:04       07:34       08:05       19:53       20:24       20:54    09:56  21:50
20180219     07:02       07:33       08:04       19:54       20:25       20:55    10:27  22:51
20180220     07:01       07:32       08:03       19:55       20:26       20:56    10:58  23:53
20180221     07:00       07:31       08:02       19:56       20:27       20:57    11:32  55:53
20180222     06:59       07:29       08:00       19:57       20:28       20:58    12:08  00:57
20180223     06:58       07:28       07:59       19:58       20:29       20:59    12:48  02:02
20180224     06:56       07:27       07:58       19:59       20:30       21:00    13:34  03:08
20180225     06:55       07:26       07:56       20:00       20:31       21:01    14:27  04:13
20180226     06:54       07:24       07:55       20:01       20:32       21:02    15:27  05:15
20180227     06:52       07:23       07:54       20:02       20:33       21:03    16:33  06:13
20180228     06:51       07:22       07:52       20:03       20:34       21:04    17:42  07:04
20180301     06:50       07:20       07:51       20:04       20:35       21:05    18:52  07:49
20180302     06:48       07:19       07:50       20:05       20:36       21:06    20:02  08:30
20180303     06:47       07:17       07:48       20:06       20:37       21:07    21:09  09:06
20180304     06:45       07:16       07:47       20:07       20:38       21:08    22:14  09:40
20180305     06:44       07:15       07:45       20:08       20:39       21:09    23:18  10:13
20180306     06:42       07:13       07:44       20:09       20:40       21:11    55:18  10:46
20180307     06:41       07:12       07:42       20:10       20:41       21:12    00:19  11:20
20180308     06:39       07:10       07:41       20:11       20:42       21:13    01:18  11:56
20180309     06:38       07:09       07:39       20:12       20:43       21:14    02:15  12:35
20180310     06:36       07:07       07:38       20:13       20:44       21:15    03:09  13:17
20180311     06:35       07:06       07:36       20:14       20:45       21:16    04:00  14:03
20180312     06:33       07:04       07:35       20:15       20:46       21:17    04:48  14:53
20180313     06:32       07:03       07:33       20:16       20:47       21:18    05:32  15:46
20180314     06:30       07:01       07:32       20:17       20:48       21:19    06:12  16:42
20180315     06:28       07:00       07:30       20:18       20:49       21:20    06:49  17:40
20180316     06:27       06:58       07:29       20:19       20:50       21:21    07:24  18:39
20180317     06:25       06:56       07:27       20:20       20:51       21:22    07:56  19:40
20180318     06:24       06:55       07:26       20:21       20:52       21:23    08:28  20:42
20180319     06:22       06:53       07:24       20:22       20:53       21:24    09:00  21:45
20180320     06:20       06:52       07:23       20:23       20:54       21:25    09:33  22:50
20180321     06:19       06:50       07:21       20:24       20:55       21:26    10:08  23:56
20180322     06:17       06:48       07:19       20:25       20:56       21:27    10:47  55:56
20180323     06:15       06:47       07:18       20:26       20:57       21:28    11:32  01:02
20180324     06:14       06:45       07:16       20:27       20:58       21:30    12:22  02:07
20180325     06:12       06:44       07:15       20:28       20:59       21:31    13:18  03:09
20180326     06:10       06:42       07:13       20:29       21:00       21:32    14:20  04:06
20180327     06:08       06:40       07:12       20:30       21:01       21:33    15:26  04:58
20180328     06:07       06:39       07:10       20:31       21:02       21:34    16:34  05:44
20180329     06:05       06:37       07:08       20:32       21:03       21:35    17:42  06:25
20180330     06:03       06:35       07:07       20:33       21:04       21:36    18:50  07:02
20180331     06:02       06:34       07:05       20:33       21:05       21:37    19:56  07:36
20180401     06:00       06:32       07:04       20:34       21:06       21:38    21:00  08:09
20180402     05:58       06:31       07:02       20:35       21:07       21:40    22:03  08:42
20180403     05:56       06:29       07:00       20:36       21:08       21:41    23:04  09:16
20180404     05:55       06:27       06:59       20:37       21:09       21:42    55:04  09:51
20180405     05:53       06:26       06:57       20:38       21:10       21:43    00:03  10:29
20180406     05:51       06:24       06:56       20:39       21:11       21:44    00:59  11:10
20180407     05:49       06:22       06:54       20:40       21:12       21:46    01:52  11:55
20180408     05:48       06:21       06:53       20:41       21:14       21:47    02:42  12:44
20180409     05:46       06:19       06:51       20:42       21:15       21:48    03:27  13:35
20180410     05:44       06:17       06:50       20:43       21:16       21:49    04:09  14:30
20180411     05:42       06:16       06:48       20:44       21:17       21:50    04:47  15:27
20180412     05:41       06:14       06:47       20:45       21:18       21:52    05:22  16:26
20180413     05:39       06:13       06:45       20:46       21:19       21:53    05:55  17:26
20180414     05:37       06:11       06:44       20:47       21:20       21:54    06:27  18:28
20180415     05:35       06:09       06:42       20:48       21:21       21:55    06:59  19:31
20180416     05:34       06:08       06:41       20:49       21:22       21:57    07:31  20:37
20180417     05:32       06:06       06:39       20:50       21:23       21:58    08:06  21:44
20180418     05:30       06:05       06:38       20:51       21:25       21:59    08:45  22:52
20180419     05:28       06:03       06:36       20:53       21:26       22:01    09:28  23:59
20180420     05:27       06:01       06:35       20:54       21:27       22:02    10:17  55:59
20180421     05:25       06:00       06:33       20:55       21:28       22:03    11:12  01:04
20180422     05:23       05:58       06:32       20:56       21:29       22:05    12:13  02:03
20180423     05:21       05:57       06:30       20:57       21:30       22:06    13:18  02:57
20180424     05:20       05:55       06:29       20:58       21:31       22:07    14:25  03:44
20180425     05:18       05:54       06:28       20:59       21:33       22:09    15:31  04:25
20180426     05:16       05:52       06:26       21:00       21:34       22:10    16:37  05:02
20180427     05:15       05:51       06:25       21:01       21:35       22:11    17:42  05:36
20180428     05:13       05:49       06:24       21:02       21:36       22:13    18:46  06:09
20180429     05:11       05:48       06:22       21:03       21:37       22:14    19:49  06:41
20180430     05:10       05:46       06:21       21:04       21:38       22:15    20:50  07:13
20180501     05:08       05:45       06:20       21:05       21:40       22:17    21:50  07:48
20180502     05:06       05:44       06:18       21:06       21:41       22:18    22:49  08:24
20180503     05:05       05:42       06:17       21:07       21:42       22:19    23:44  09:04
20180504     05:03       05:41       06:16       21:08       21:43       22:21    55:44  09:48
20180505     05:02       05:39       06:15       21:09       21:44       22:22    00:35  10:35
20180506     05:00       05:38       06:13       21:10       21:45       22:24    01:23  11:26
20180507     04:59       05:37       06:12       21:11       21:47       22:25    02:06  12:19
20180508     04:57       05:36       06:11       21:12       21:48       22:26    02:45  13:14
20180509     04:56       05:34       06:10       21:13       21:49       22:28    03:21  14:12
20180510     04:54       05:33       06:09       21:14       21:50       22:29    03:54  15:11
20180511     04:53       05:32       06:08       21:15       21:51       22:31    04:25  16:11
20180512     04:51       05:31       06:07       21:16       21:52       22:32    04:56  17:13
20180513     04:50       05:29       06:06       21:17       21:54       22:33    05:28  18:18
20180514     04:49       05:28       06:05       21:18       21:55       22:35    06:02  19:25
20180515     04:47       05:27       06:04       21:19       21:56       22:36    06:39  20:34
20180516     04:46       05:26       06:03       21:20       21:57       22:37    07:20  21:44
20180517     04:45       05:25       06:02       21:21       21:58       22:39    08:08  22:52
20180518     04:43       05:24       06:01       21:22       21:59       22:40    09:02  23:56
20180519     04:42       05:23       06:00       21:23       22:00       22:41    10:03  55:56
20180520     04:41       05:22       05:59       21:24       22:01       22:43    11:09  00:54
20180521     04:40       05:21       05:58       21:25       22:02       22:44    12:16  01:44
20180522     04:38       05:20       05:58       21:26       22:03       22:45    13:24  02:27
20180523     04:37       05:19       05:57       21:27       22:05       22:47    14:30  03:06
20180524     04:36       05:18       05:56       21:28       22:06       22:48    15:35  03:40
20180525     04:35       05:17       05:55       21:28       22:07       22:49    16:38  04:12
20180526     04:34       05:17       05:55       21:29       22:08       22:50    17:40  04:43
20180527     04:33       05:16       05:54       21:30       22:09       22:51    18:41  05:15
20180528     04:32       05:15       05:53       21:31       22:09       22:53    19:41  05:47
20180529     04:31       05:14       05:53       21:32       22:10       22:54    20:39  06:23
20180530     04:30       05:14       05:52       21:33       22:11       22:55    21:36  07:01
20180531     04:30       05:13       05:52       21:33       22:12       22:56    22:29  07:43
20180601     04:29       05:12       05:51       21:34       22:13       22:57    23:19  08:28
20180602     04:28       05:12       05:51       21:35       22:14       22:58    55:19  09:18
20180603     04:27       05:11       05:50       21:36       22:15       22:59    00:03  10:10
20180604     04:27       05:11       05:50       21:36       22:16       23:00    00:44  11:05
20180605     04:26       05:10       05:50       21:37       22:16       23:01    01:21  12:01
20180606     04:25       05:10       05:49       21:38       22:17       23:02    01:54  12:58
20180607     04:25       05:10       05:49       21:38       22:18       23:03    02:26  13:57
20180608     04:24       05:09       05:49       21:39       22:18       23:03    02:56  14:57
20180609     04:24       05:09       05:49       21:39       22:19       23:04    03:26  15:59
20180610     04:24       05:09       05:49       21:40       22:20       23:05    03:58  17:04
20180611     04:23       05:09       05:48       21:41       22:20       23:06    04:32  18:11
20180612     04:23       05:08       05:48       21:41       22:21       23:06    05:11  19:21
20180613     04:23       05:08       05:48       21:42       22:21       23:07    05:56  20:31
20180614     04:23       05:08       05:48       21:42       22:22       23:08    06:47  21:39
20180615     04:23       05:08       05:48       21:42       22:22       23:08    07:47  22:42
20180616     04:22       05:08       05:48       21:43       22:23       23:09    08:52  23:37
20180617     04:22       05:08       05:48       21:43       22:23       23:09    10:02  55:37
20180618     04:22       05:08       05:48       21:43       22:24       23:09    11:12  00:25
20180619     04:22       05:08       05:48       21:44       22:24       23:10    12:21  01:06
20180620     04:23       05:08       05:49       21:44       22:24       23:10    13:27  01:43
20180621     04:23       05:09       05:49       21:44       22:24       23:10    14:31  02:16
20180622     04:23       05:09       05:49       21:44       22:25       23:10    15:33  02:47
20180623     04:23       05:09       05:49       21:45       22:25       23:11    16:34  03:18
20180624     04:24       05:09       05:49       21:45       22:25       23:11    17:34  03:50
20180625     04:24       05:10       05:50       21:45       22:25       23:11    18:33  04:24
20180626     04:24       05:10       05:50       21:45       22:25       23:11    19:30  05:00
20180627     04:25       05:11       05:51       21:45       22:25       23:11    20:24  05:41
20180628     04:25       05:11       05:51       21:45       22:25       23:10    21:15  06:25
20180629     04:26       05:11       05:51       21:45       22:25       23:10    22:01  07:13
20180630     04:26       05:12       05:52       21:45       22:25       23:10    22:43  08:04
20180701     04:27       05:12       05:52       21:45       22:24       23:10    23:21  08:58
20180702     04:28       05:13       05:53       21:45       22:24       23:09    23:56  09:53
20180703     04:28       05:14       05:53       21:44       22:24       23:09    55:56  10:50
20180704     04:29       05:14       05:54       21:44       22:24       23:09    00:28  11:47
20180705     04:30       05:15       05:54       21:44       22:23       23:08    00:58  12:46
20180706     04:31       05:16       05:55       21:44       22:23       23:08    01:27  13:45
20180707     04:32       05:16       05:56       21:43       22:23       23:07    01:57  14:47
20180708     04:33       05:17       05:56       21:43       22:22       23:06    02:29  15:51
20180709     04:33       05:18       05:57       21:43       22:22       23:06    03:04  16:58
20180710     04:34       05:19       05:58       21:42       22:21       23:05    03:45  18:07
20180711     04:35       05:19       05:58       21:42       22:21       23:04    04:32  19:16
20180712     04:36       05:20       05:59       21:41       22:20       23:04    05:27  20:22
20180713     04:37       05:21       06:00       21:41       22:19       23:03    06:30  21:22
20180714     04:39       05:22       06:01       21:40       22:19       23:02    07:39  22:15
20180715     04:40       05:23       06:01       21:40       22:18       23:01    08:51  23:01
20180716     04:41       05:24       06:02       21:39       22:17       23:00    10:03  23:41
20180717     04:42       05:25       06:03       21:38       22:16       22:59    11:13  55:41
20180718     04:43       05:26       06:04       21:38       22:16       22:58    12:20  00:16
20180719     04:44       05:27       06:05       21:37       22:15       22:57    13:25  00:49
20180720     04:46       05:28       06:06       21:36       22:14       22:56    14:27  01:21
20180721     04:47       05:29       06:06       21:35       22:13       22:55    15:28  01:53
20180722     04:48       05:30       06:07       21:35       22:12       22:54    16:27  02:26
20180723     04:49       05:31       06:08       21:34       22:11       22:52    17:24  03:02
20180724     04:50       05:32       06:09       21:33       22:10       22:51    18:19  03:40
20180725     04:52       05:33       06:10       21:32       22:09       22:50    19:11  04:23
20180726     04:53       05:34       06:11       21:31       22:08       22:49    19:59  05:09
20180727     04:54       05:35       06:12       21:30       22:07       22:47    20:43  05:59
20180728     04:56       05:36       06:13       21:29       22:06       22:46    21:22  06:53
20180729     04:57       05:37       06:14       21:28       22:05       22:45    21:58  07:48
20180730     04:58       05:38       06:15       21:27       22:03       22:43    22:30  08:44
20180731     05:00       05:39       06:16       21:26       22:02       22:42    23:01  09:41
20180801     05:01       05:40       06:17       21:25       22:01       22:40    23:30  10:39
20180802     05:02       05:41       06:18       21:24       22:00       22:39    23:59  11:38
20180803     05:04       05:43       06:18       21:23       21:59       22:37    55:59  12:38
20180804     05:05       05:44       06:19       21:22       21:57       22:36    00:30  13:39
20180805     05:06       05:45       06:20       21:20       21:56       22:34    01:03  14:43
20180806     05:08       05:46       06:21       21:19       21:55       22:33    01:39  15:49
20180807     05:09       05:47       06:22       21:18       21:53       22:31    02:22  16:56
20180808     05:10       05:48       06:23       21:17       21:52       22:30    03:11  18:02
20180809     05:12       05:49       06:24       21:16       21:51       22:28    04:09  19:04
20180810     05:13       05:50       06:25       21:14       21:49       22:26    05:14  20:00
20180811     05:14       05:51       06:26       21:13       21:48       22:25    06:25  20:50
20180812     05:15       05:53       06:27       21:12       21:46       22:23    07:38  21:33
20180813     05:17       05:54       06:28       21:10       21:45       22:21    08:51  22:12
20180814     05:18       05:55       06:29       21:09       21:43       22:20    10:02  22:47
20180815     05:19       05:56       06:30       21:08       21:42       22:18    11:09  23:20
20180816     05:21       05:57       06:31       21:06       21:40       22:16    12:15  23:53
20180817     05:22       05:58       06:32       21:05       21:39       22:15    13:18  55:53
20180818     05:23       05:59       06:33       21:04       21:37       22:13    14:19  00:26
20180819     05:25       06:00       06:34       21:02       21:36       22:11    15:18  01:01
20180820     05:26       06:01       06:35       21:01       21:34       22:10    16:14  01:39
20180821     05:27       06:02       06:36       20:59       21:33       22:08    17:07  02:21
20180822     05:28       06:04       06:37       20:58       21:31       22:06    17:56  03:06
20180823     05:30       06:05       06:38       20:56       21:29       22:04    18:41  03:55
20180824     05:31       06:06       06:39       20:55       21:28       22:03    19:22  04:47
20180825     05:32       06:07       06:40       20:53       21:26       22:01    19:59  05:42
20180826     05:33       06:08       06:41       20:52       21:25       21:59    20:32  06:38
20180827     05:34       06:09       06:42       20:50       21:23       21:57    21:04  07:36
20180828     05:36       06:10       06:43       20:49       21:21       21:55    21:33  08:34
20180829     05:37       06:11       06:44       20:47       21:20       21:54    22:03  09:32
20180830     05:38       06:12       06:45       20:46       21:18       21:52    22:33  10:32
20180831     05:39       06:13       06:45       20:44       21:16       21:50    23:04  11:33
20180901     05:40       06:14       06:46       20:43       21:15       21:48    23:39  12:35
20180902     05:42       06:15       06:47       20:41       21:13       21:47    55:39  13:39
20180903     05:43       06:16       06:48       20:39       21:12       21:45    00:18  14:44
20180904     05:44       06:17       06:49       20:38       21:10       21:43    01:03  15:48
20180905     05:45       06:18       06:50       20:36       21:08       21:41    01:55  16:50
20180906     05:46       06:19       06:51       20:35       21:07       21:39    02:55  17:47
20180907     05:47       06:20       06:52       20:33       21:05       21:38    04:02  18:38
20180908     05:48       06:21       06:53       20:31       21:03       21:36    05:13  19:24
20180909     05:49       06:22       06:54       20:30       21:01       21:34    06:25  20:04
20180910     05:50       06:23       06:55       20:28       21:00       21:32    07:37  20:41
20180911     05:52       06:24       06:56       20:27       20:58       21:30    08:48  21:15
20180912     05:53       06:25       06:57       20:25       20:56       21:29    09:56  21:49
20180913     05:54       06:26       06:57       20:23       20:55       21:27    11:02  22:23
20180914     05:55       06:27       06:58       20:22       20:53       21:25    12:06  22:58
20180915     05:56       06:28       06:59       20:20       20:51       21:23    13:07  23:35
20180916     05:57       06:29       07:00       20:19       20:50       21:22    14:05  55:35
20180917     05:58       06:30       07:01       20:17       20:48       21:20    15:01  00:16
20180918     05:59       06:31       07:02       20:15       20:46       21:18    15:52  01:00
20180919     06:00       06:32       07:03       20:14       20:45       21:16    16:38  01:48
20180920     06:01       06:33       07:04       20:12       20:43       21:15    17:20  02:40
20180921     06:02       06:34       07:05       20:11       20:41       21:13    17:58  03:34
20180922     06:03       06:35       07:06       20:09       20:40       21:11    18:33  04:30
20180923     06:04       06:35       07:06       20:07       20:38       21:10    19:05  05:27
20180924     06:05       06:36       07:07       20:06       20:37       21:08    19:36  06:25
20180925     06:06       06:37       07:08       20:04       20:35       21:06    20:05  07:25
20180926     06:07       06:38       07:09       20:03       20:33       21:05    20:35  08:25
20180927     06:08       06:39       07:10       20:01       20:32       21:03    21:06  09:26
20180928     06:09       06:40       07:11       19:59       20:30       21:01    21:40  10:29
20180929     06:10       06:41       07:12       19:58       20:29       21:00    22:17  11:33
20180930     06:11       06:42       07:13       19:56       20:27       20:58    23:00  12:37
20181001     06:12       06:43       07:14       19:55       20:25       20:56    23:49  13:41
20181002     06:13       06:44       07:15       19:53       20:24       20:55    55:49  14:43
20181003     06:14       06:45       07:15       19:52       20:22       20:53    00:46  15:40
20181004     06:15       06:46       07:16       19:50       20:21       20:52    01:48  16:32
20181005     06:16       06:47       07:17       19:49       20:19       20:50    02:56  17:18
20181006     06:17       06:48       07:18       19:47       20:18       20:48    04:05  17:59
20181007     06:18       06:48       07:19       19:46       20:16       20:47    05:16  18:36
20181008     06:19       06:49       07:20       19:44       20:15       20:45    06:26  19:10
20181009     06:20       06:50       07:21       19:43       20:13       20:44    07:35  19:44
20181010     06:20       06:51       07:22       19:41       20:12       20:42    08:42  20:17
20181011     06:21       06:52       07:23       19:40       20:10       20:41    09:48  20:52
20181012     06:22       06:53       07:24       19:38       20:09       20:40    10:51  21:29
20181013     06:23       06:54       07:25       19:37       20:07       20:38    11:53  22:09
20181014     06:24       06:55       07:26       19:35       20:06       20:37    12:51  22:53
20181015     06:25       06:56       07:27       19:34       20:05       20:35    13:44  23:40
20181016     06:26       06:57       07:28       19:33       20:03       20:34    14:33  55:40
20181017     06:27       06:58       07:29       19:31       20:02       20:33    15:18  00:30
20181018     06:28       06:59       07:30       19:30       20:01       20:31    15:57  01:24
20181019     06:29       07:00       07:31       19:28       19:59       20:30    16:33  02:19
20181020     06:30       07:01       07:31       19:27       19:58       20:29    17:05  03:16
20181021     06:31       07:02       07:32       19:26       19:57       20:27    17:36  04:14
20181022     06:32       07:02       07:33       19:25       19:55       20:26    18:06  05:13
20181023     06:33       07:03       07:34       19:23       19:54       20:25    18:35  06:13
20181024     06:34       07:04       07:35       19:22       19:53       20:24    19:06  07:14
20181025     06:35       07:05       07:36       19:21       19:52       20:23    19:39  08:18
20181026     06:36       07:06       07:37       19:20       19:51       20:21    20:16  09:23
20181027     06:36       07:07       07:38       19:18       19:49       20:20    20:58  10:29
20181028     06:37       07:08       07:39       19:17       19:48       20:19    21:45  11:35
20181029     06:38       07:09       07:40       19:16       19:47       20:18    22:40  12:39
20181030     06:39       07:10       07:41       19:15       19:46       20:17    23:41  13:38
20181031     06:40       07:11       07:42       19:14       19:45       20:16    55:41  14:31
20181101     06:41       07:12       07:43       19:13       19:44       20:15    00:46  15:17
20181102     06:42       07:13       07:44       19:12       19:43       20:14    01:54  15:59
20181103     06:43       07:14       07:45       19:11       19:42       20:13    03:03  16:36
20181104     06:44       07:15       07:46       19:10       19:41       20:12    04:11  17:10
20181105     06:45       07:16       07:47       19:09       19:40       20:11    05:18  17:42
20181106     06:46       07:17       07:49       19:08       19:39       20:10    06:25  18:15
20181107     06:47       07:18       07:50       19:07       19:38       20:09    07:30  18:48
20181108     06:48       07:19       07:51       19:06       19:38       20:09    08:35  19:24
20181109     06:49       07:20       07:52       19:05       19:37       20:08    09:38  20:02
20181110     06:50       07:21       07:53       19:04       19:36       20:07    10:38  20:44
20181111     06:51       07:22       07:54       19:03       19:35       20:06    11:35  21:30
20181112     06:52       07:23       07:55       19:03       19:34       20:06    12:27  22:20
20181113     06:53       07:24       07:56       19:02       19:34       20:05    13:13  23:13
20181114     06:53       07:25       07:57       19:01       19:33       20:04    13:55  55:13
20181115     06:54       07:26       07:58       19:00       19:32       20:04    14:32  00:07
20181116     06:55       07:27       07:59       19:00       19:32       20:03    15:05  01:04
20181117     06:56       07:28       08:00       18:59       19:31       20:03    15:36  02:01
20181118     06:57       07:29       08:01       18:58       19:31       20:02    16:06  02:58
20181119     06:58       07:30       08:02       18:58       19:30       20:02    16:35  03:57
20181120     06:59       07:31       08:03       18:57       19:30       20:01    17:04  04:58
20181121     07:00       07:32       08:04       18:57       19:29       20:01    17:36  06:00
20181122     07:01       07:33       08:05       18:56       19:29       20:00    18:11  07:05
20181123     07:02       07:34       08:06       18:56       19:28       20:00    18:51  08:12
20181124     07:03       07:34       08:07       18:55       19:28       20:00    19:37  09:21
20181125     07:04       07:35       08:08       18:55       19:28       19:59    20:31  10:28
20181126     07:05       07:36       08:09       18:55       19:27       19:59    21:31  11:31
20181127     07:05       07:37       08:10       18:54       19:27       19:59    22:37  12:28
20181128     07:06       07:38       08:11       18:54       19:27       19:59    23:46  13:18
20181129     07:07       07:39       08:12       18:54       19:27       19:58    55:46  14:01
20181130     07:08       07:40       08:13       18:54       19:26       19:58    00:55  14:39
20181201     07:09       07:41       08:14       18:53       19:26       19:58    02:03  15:13
20181202     07:10       07:42       08:15       18:53       19:26       19:58    03:09  15:45
20181203     07:11       07:43       08:15       18:53       19:26       19:58    04:15  16:16
20181204     07:11       07:43       08:16       18:53       19:26       19:58    05:19  16:48
20181205     07:12       07:44       08:17       18:53       19:26       19:58    06:23  17:22
20181206     07:13       07:45       08:18       18:53       19:26       19:58    07:25  17:58
20181207     07:14       07:46       08:19       18:53       19:26       19:58    08:26  18:38
20181208     07:15       07:47       08:20       18:53       19:26       19:58    09:24  19:23
20181209     07:15       07:47       08:21       18:53       19:26       19:58    10:19  20:11
20181210     07:16       07:48       08:21       18:53       19:26       19:59    11:08  21:03
20181211     07:17       07:49       08:22       18:53       19:27       19:59    11:52  21:57
20181212     07:17       07:50       08:23       18:54       19:27       19:59    12:31  22:53
20181213     07:18       07:50       08:24       18:54       19:27       19:59    13:05  23:49
20181214     07:19       07:51       08:24       18:54       19:27       20:00    13:37  55:49
20181215     07:19       07:52       08:25       18:54       19:28       20:00    14:06  00:46
20181216     07:20       07:52       08:26       18:55       19:28       20:00    14:35  01:43
20181217     07:21       07:53       08:26       18:55       19:28       20:01    15:03  02:42
20181218     07:21       07:54       08:27       18:55       19:29       20:01    15:33  03:42
20181219     07:22       07:54       08:28       18:56       19:29       20:01    16:05  04:45
20181220     07:22       07:55       08:28       18:56       19:30       20:02    16:42  05:50
20181221     07:23       07:55       08:29       18:57       19:30       20:02    17:25  06:58
20181222     07:23       07:56       08:29       18:57       19:31       20:03    18:16  08:07
20181223     07:24       07:56       08:30       18:58       19:31       20:03    19:14  09:14
20181224     07:24       07:57       08:30       18:58       19:32       20:04    20:20  10:16
20181225     07:25       07:57       08:31       18:59       19:32       20:04    21:31  11:11
20181226     07:25       07:58       08:31       18:59       19:33       20:05    22:42  11:58
20181227     07:26       07:58       08:31       19:00       19:33       20:06    23:53  12:39
20181228     07:26       07:58       08:32       19:01       19:34       20:06    55:53  13:16
20181229     07:26       07:59       08:32       19:01       19:35       20:07    01:01  13:49
20181230     07:27       07:59       08:32       19:02       19:35       20:08    02:08  14:20
20181231     07:27       07:59       08:32       19:03       19:36       20:08    03:12  14:52
20190101     07:27       07:59       08:33       19:04       19:37       20:09    04:15  15:24
20190102     07:27       08:00       08:33       19:04       19:38       20:10    05:17  15:59
20190103     07:28       08:00       08:33       19:05       19:38       20:11    06:18  16:37
20190104     07:28       08:00       08:33       19:06       19:39       20:11    07:17  17:19
20190105     07:28       08:00       08:33       19:07       19:40       20:12    08:12  18:05
20190106     07:28       08:00       08:33       19:08       19:41       20:13    09:03  18:56
20190107     07:28       08:00       08:33       19:09       19:42       20:14    09:49  19:49
20190108     07:28       08:00       08:33       19:09       19:42       20:15    10:29  20:44
20190109     07:28       08:00       08:33       19:10       19:43       20:15    11:06  21:40
20190110     07:28       08:00       08:33       19:11       19:44       20:16    11:38  22:37
20190111     07:28       08:00       08:33       19:12       19:45       20:17    12:08  23:34
20190112     07:28       08:00       08:33       19:13       19:46       20:18    12:36  55:34
20190113     07:28       08:00       08:33       19:14       19:47       20:19    13:04  00:31
20190114     07:28       08:00       08:32       19:15       19:48       20:20    13:32  01:29
20190115     07:28       07:59       08:32       19:16       19:49       20:21    14:02  02:28
20190116     07:27       07:59       08:32       19:17       19:50       20:22    14:36  03:30
20190117     07:27       07:59       08:31       19:18       19:51       20:23    15:14  04:35
20190118     07:27       07:59       08:31       19:19       19:52       20:23    15:59  05:42
20190119     07:27       07:58       08:31       19:20       19:53       20:24    16:53  06:49
20190120     07:26       07:58       08:30       19:21       19:54       20:25    17:56  07:54
20190121     07:26       07:58       08:30       19:22       19:55       20:26    19:05  08:54
20190122     07:26       07:57       08:29       19:23       19:56       20:27    20:19  09:47
20190123     07:25       07:57       08:29       19:24       19:57       20:28    21:33  10:33
20190124     07:25       07:56       08:28       19:25       19:58       20:29    22:45  11:13
20190125     07:24       07:56       08:28       19:27       19:59       20:30    23:55  11:48
20190126     07:24       07:55       08:27       19:28       20:00       20:31    55:55  12:21
20190127     07:23       07:54       08:26       19:29       20:01       20:32    01:02  12:54
20190128     07:23       07:54       08:26       19:30       20:02       20:33    02:08  13:26
20190129     07:22       07:53       08:25       19:31       20:03       20:34    03:11  14:00
20190130     07:21       07:53       08:24       19:32       20:04       20:35    04:12  14:37
20190131     07:21       07:52       08:24       19:33       20:05       20:36    05:11  15:18
20190201     07:20       07:51       08:23       19:34       20:06       20:37    06:07  16:02
20190202     07:19       07:50       08:22       19:35       20:07       20:38    06:59  16:51
20190203     07:18       07:50       08:21       19:36       20:08       20:39    07:46  17:43
20190204     07:18       07:49       08:20       19:37       20:09       20:40    08:29  18:38
20190205     07:17       07:48       08:19       19:38       20:10       20:41    09:06  19:34
